year,state,residential,commercial,industrial,total
2001,CO,7.47,5.67,4.48,6.02
2001,CT,10.9,9.26,7.62,9.62
2001,DC,7.79,7.45,4.81,7.4
2001,DE,8.61,7,4.81,6.8
2001,FL,8.59,7.08,5.18,7.67
2001,GA,7.72,6.61,4.28,6.39
2001,HI,16.34,14.81,11.68,14.05
2001,IA,8.41,6.69,4.18,6.14
2001,ID,6.01,5.13,3.71,4.92
2001,IL,8.71,7.4,4.65,6.9
2001,IN,6.92,5.29,4.11,5.3
2001,KS,7.66,6.2,4.55,6.24
2001,KY,5.58,5.2,3.04,4.24
2001,LA,7.92,7.58,5.58,6.96
2001,MA,12.47,11.64,9.37,11.55
2001,MD,7.67,6.36,4.37,6.6
2001,ME,13.13,11.64,7.15,10.55
2001,MI,8.26,7.54,5.08,6.97
2001,MN,7.61,6.03,4.34,5.97
2001,MO,7,5.89,4.39,6.03
2001,MS,7.37,6.94,4.4,6.26
2001,MT,6.88,5.91,6.59,6.48
2001,NC,8.12,6.42,4.61,6.58
2001,ND,6.47,5.99,3.98,5.48
2001,NE,6.5,5.48,3.76,5.39
2001,NH,12.49,10.53,9.11,10.95
2001,NJ,10.21,9.09,8.33,9.36
2001,NM,8.74,7.5,5.45,7.16
2001,NV,9.08,8.45,6.56,7.86
2001,NY,14.04,12.87,5.56,11.55
2001,OH,8.37,8.46,4.27,6.62
2001,OK,7.27,6.35,4.29,6.1
2001,OR,6.29,5.45,4.21,5.44
2001,PA,9.68,8.62,5.76,8.01
2001,RI,12.13,11.54,9.36,11.45
2001,SC,7.69,6.45,3.86,5.77
2001,SD,7.42,6.55,4.46,6.35
2001,TN,6.32,6.31,4.05,5.59
2001,TX,8.86,7.74,5.27,7.38
2001,US,8.58,7.92,5.05,7.29
2001,UT,6.72,5.58,3.53,5.21
2001,VA,7.79,5.85,4.16,6.18
2001,VT,12.67,11.28,7.89,10.86
2001,WA,5.7,5.45,4.75,5.34
2001,WI,7.9,6.34,4.36,6.08
2001,WV,6.26,5.44,3.74,5.07
2001,WY,6.77,5.41,3.43,4.46
2002,AK,12.05,10.13,7.65,10.46
2002,AL,7.12,6.63,3.82,5.71
2002,AR,7.25,5.68,4.01,5.61
2002,AZ,8.27,7.28,5.2,7.21
2002,CA,12.64,13.36,9.81,12.19
