year,state,source,generation
1992,AL,Total,95234422
1992,AL,Coal,61160671
1992,AL,Hydro,10260023
1992,AL,Natural Gas,1396063
1992,AL,Nuclear,19397436
1992,AL,Petroleum,194866
1992,AR,Total,39746101
1992,AR,Coal,20093600
1992,AR,Hydro,3377255
1992,AR,Natural Gas,3426632
1992,AR,Nuclear,11325661
1992,AR,Petroleum,52668
1992,AZ,Total,70552727
1992,AZ,Coal,34817088
1992,AZ,Hydro,6620757
1992,AZ,Natural Gas,2975365
1992,AZ,Nuclear,25608706
1992,AZ,Petroleum,101915
1992,CA,Total,177155459
1992,CA,Coal,3299510
1992,CA,Hydro,20167410
1992,CA,Natural Gas,88704787
1992,CA,Nuclear,35244336
1992,CA,Petroleum,1948539
1992,CA,Solar,399260
1992,CA,Wind,2863999
1992,CO,Total,33295490
1992,CO,Coal,30247748
1992,CO,Hydro,1499162
1992,CO,Natural Gas,1347188
1992,CO,Petroleum,40888
1992,CT,Total,29211380
1992,CT,Coal,3717996
1992,CT,Hydro,423713
1992,CT,Natural Gas,1471825
1992,CT,Nuclear,16770708
1992,CT,Petroleum,5483841
1992,DE,Total,6984285
1992,DE,Coal,4003881
1992,DE,Natural Gas,627975
1992,DE,Petroleum,2181233
1992,FL,Total,143777143
1992,FL,Coal,62709653
1992,FL,Hydro,235604
1992,FL,Natural Gas,19919616
1992,FL,Nuclear,25115956
1992,FL,Petroleum,28617786
1992,GA,Total,97358229
1992,GA,Coal,59227954
1992,GA,Hydro,4915318
1992,GA,Natural Gas,729290
1992,GA,Nuclear,27996298
1992,GA,Petroleum,813405
1992,HI,Total,9844461
1992,HI,Coal,556628
1992,HI,Hydro,61123
1992,HI,Petroleum,8334203
1992,HI,Wind,22676
1992,IA,Total,30496927
1992,IA,Coal,25763013
1992,IA,Hydro,999665
1992,IA,Natural Gas,269011
1992,IA,Nuclear,3405144
1992,IA,Petroleum,40085
1992,ID,Total,7463004
1992,ID,Coal,44371
1992,ID,Hydro,6653977
1992,ID,Natural Gas,137549
1992,ID,Petroleum,2313
1992,IL,Total,128046228
1992,IL,Coal,51416591
1992,IL,Hydro,139308
1992,IL,Natural Gas,1703597
1992,IL,Nuclear,73742321
1992,IL,Petroleum,437893
1992,IN,Total,101018564
1992,IN,Coal,96616880
1992,IN,Hydro,562476
1992,IN,Natural Gas,1184257
1992,IN,Petroleum,488064
1992,KS,Total,32078493
1992,KS,Coal,22152736
1992,KS,Hydro,9768
1992,KS,Natural Gas,1372392
1992,KS,Nuclear,8490658
1992,KS,Petroleum,52826
1992,KS,Wind,113
1992,KY,Total,77351259
1992,KY,Coal,73476309
1992,KY,Hydro,3767232
1992,KY,Natural Gas,23832
1992,KY,Petroleum,83886
1992,LA,Total,73374124
1992,LA,Coal,19840001
1992,LA,Hydro,656492
1992,LA,Natural Gas,36977798
1992,LA,Nuclear,10355520
1992,LA,Petroleum,1065464
1992,MA,Total,40087655
1992,MA,Coal,11064697
1992,MA,Hydro,1010856
1992,MA,Natural Gas,8479397
1992,MA,Nuclear,4741968
1992,MA,Petroleum,13726316
1992,MD,Total,41177359
1992,MD,Coal,23850470
1992,MD,Hydro,1824659
1992,MD,Natural Gas,1077542
1992,MD,Nuclear,10663950
1992,MD,Petroleum,2749511
1992,ME,Total,15683544
1992,ME,Coal,559844
1992,ME,Hydro,3512606
1992,ME,Natural Gas,24687
1992,ME,Nuclear,5357999
1992,ME,Petroleum,2187082
1992,MI,Total,95321939
1992,MI,Coal,63346702
1992,MI,Hydro,1782271
1992,MI,Natural Gas,9528639
1992,MI,Nuclear,18848731
1992,MI,Petroleum,628767
1992,MN,Total,40258884
1992,MN,Coal,25701266
1992,MN,Hydro,1062506
1992,MN,Natural Gas,645888
1992,MN,Nuclear,11166355
1992,MN,Petroleum,648658
1992,MN,Wind,145
1992,MO,Total,56951673
1992,MO,Coal,47099235
1992,MO,Hydro,1481265
1992,MO,Natural Gas,237779
1992,MO,Nuclear,8083975
1992,MO,Petroleum,81078
1992,MS,Total,23134963
1992,MS,Coal,7836090
1992,MS,Natural Gas,4735182
1992,MS,Nuclear,8173763
1992,MS,Petroleum,413903
1992,MT,Total,25899645
1992,MT,Coal,17453833
1992,MT,Hydro,8270838
1992,MT,Natural Gas,34569
1992,MT,Petroleum,16956
1992,MT,Wind,50
1992,NC,Total,89535255
1992,NC,Coal,58274019
1992,NC,Hydro,5768453
1992,NC,Natural Gas,361308
1992,NC,Nuclear,22753813
1992,NC,Petroleum,335046
1992,ND,Total,28766897
1992,ND,Coal,26960827
1992,ND,Hydro,1698854
1992,ND,Natural Gas,13411
1992,ND,Petroleum,55282
1992,NE,Total,22425498
1992,NE,Coal,12440175
1992,NE,Hydro,1075446
1992,NE,Natural Gas,145492
1992,NE,Nuclear,8748468
1992,NE,Petroleum,9482
1992,NH,Total,15117253
1992,NH,Coal,3187087
1992,NH,Hydro,1393631
1992,NH,Natural Gas,57001
1992,NH,Nuclear,7868653
1992,NH,Petroleum,1413274
1992,NJ,Total,43664014
1992,NJ,Coal,5409083
1992,NJ,Hydro,22380
1992,NJ,Natural Gas,14515031
1992,NJ,Nuclear,21595097
1992,NJ,Petroleum,1308375
1992,NM,Total,28069438
1992,NM,Coal,25348413
1992,NM,Hydro,255046
1992,NM,Natural Gas,2414692
1992,NM,Petroleum,37159
1992,NV,Total,23347543
1992,NV,Coal,16443169
1992,NV,Hydro,1985691
1992,NV,Natural Gas,3392197
1992,NV,Petroleum,327585
1992,NY,Total,125948924
1992,NY,Coal,27279703
1992,NY,Hydro,28056647
1992,NY,Natural Gas,26849697
1992,NY,Nuclear,24154932
1992,NY,Petroleum,18319258
1992,OH,Total,137661728
1992,OH,Coal,121249946
1992,OH,Hydro,253165
1992,OH,Natural Gas,340236
1992,OH,Nuclear,14805499
1992,OH,Petroleum,258124
1992,OK,Total,50006448
1992,OK,Coal,30003846
1992,OK,Hydro,3241701
1992,OK,Natural Gas,16419444
1992,OK,Petroleum,51626
1992,OR,Total,42345374
1992,OR,Coal,3702081
1992,OR,Hydro,31718535
1992,OR,Natural Gas,1527911
1992,OR,Nuclear,4572587
1992,OR,Petroleum,10655
1992,OR,Wind,539
1992,PA,Total,179405645
1992,PA,Coal,109124697
1992,PA,Hydro,2577615
1992,PA,Natural Gas,2707834
1992,PA,Nuclear,60132729
1992,PA,Petroleum,2648000
1992,RI,Total,4785205
1992,RI,Coal,0
1992,RI,Hydro,9946
1992,RI,Natural Gas,4612506
1992,RI,Petroleum,98919
1992,SC,Total,74170509
1992,SC,Coal,23677865
1992,SC,Hydro,3310446
1992,SC,Natural Gas,271179
1992,SC,Nuclear,45536530
1992,SC,Petroleum,158187
1992,SD,Total,6246414
1992,SD,Coal,2626290
1992,SD,Hydro,3612010
1992,SD,Natural Gas,642
1992,SD,Petroleum,7472
1992,TN,Total,77748112
1992,TN,Coal,51527665
1992,TN,Hydro,10011047
1992,TN,Natural Gas,275511
1992,TN,Nuclear,15653580
1992,TN,Petroleum,129598
1992,TX,Total,290292313
1992,TX,Coal,121395162
1992,TX,Hydro,2638164
1992,TX,Natural Gas,134639387
1992,TX,Nuclear,24496392
1992,TX,Petroleum,1628161
1992,TX,Solar,369
1992,UT,Total,33237139
1992,UT,Coal,31552990
1992,UT,Hydro,602384
1992,UT,Natural Gas,631435
1992,UT,Petroleum,33635
1992,VA,Total,56352354
1992,VA,Coal,26225034
1992,VA,Hydro,1089975
1992,VA,Natural Gas,2475690
